Type,mean,count,std,confidence
all,0.95,20,0.22360679774997896,0.09799999999999999
all_split,0.8,20,0.41039134083406165,0.1798619353545204
class_names,0.7,20,0.47016234598162726,0.20605773335083594
class_names_split,0.8,20,0.41039134083406165,0.1798619353545204
global_variables,0.8,20,0.41039134083406165,0.1798619353545204
global_variables_split,0.8,20,0.41039134083406165,0.1798619353545204
local_variables,0.85,20,0.36634754853252316,0.16055889229418852
local_variables_split,0.95,20,0.22360679774997896,0.09799999999999999
method_names,0.9,20,0.3077935056255462,0.13489645151589028
method_names_split,0.8,20,0.41039134083406165,0.1798619353545204
parameters,0.85,20,0.36634754853252316,0.16055889229418852
parameters_split,0.8,20,0.41039134083406165,0.1798619353545204
